	Groups	Clonotypes size	Ratio
91	Acute myeloid leukemia<<>>AML3948	n = 4	0.010080645161290322
92	Acute myeloid leukemia<<>>AML3948	n = 5	0.007056451612903226
93	Acute myeloid leukemia<<>>AML3948	n = 6	0.0030241935483870967
94	Acute myeloid leukemia<<>>AML3948	n = 7	0.011088709677419355
95	Acute myeloid leukemia<<>>AML3948	n = 8	0.004032258064516129
96	Acute myeloid leukemia<<>>AML3948	n = 9	0.0010080645161290322
97	Acute myeloid leukemia<<>>AML3948	n = 10	0.0020161290322580645
98	Acute myeloid leukemia<<>>AML3948	n > 10	0.023185483870967742
99	Normal<<>>Control0004	n = 1	0.9561415879283599
100	Normal<<>>Control0004	n = 2	0.018192074460583837
101	Normal<<>>Control0004	n = 3	0.006346072486250176
102	Normal<<>>Control0004	n = 4	0.004230714990833451
103	Normal<<>>Control0004	n = 5	0.001833309829361162
104	Normal<<>>Control0004	n = 6	0.0012692144972500353
105	Normal<<>>Control0004	n = 7	0.0016922859963333804
106	Normal<<>>Control0004	n = 8	0.0008461429981666902
107	Normal<<>>Control0004	n = 9	0.0008461429981666902
108	Normal<<>>Control0004	n = 10	0.0005640953321111268
109	Normal<<>>Control0004	n > 10	0.008038358482583557
110	Normal<<>>Control0005	n = 1	0.9235668789808917
111	Normal<<>>Control0005	n = 2	0.07006369426751592
112	Normal<<>>Control0005	n = 3	0.006369426751592357
113	Normal<<>>Control0005	n = 4	0.0
114	Normal<<>>Control0005	n = 5	0.0
115	Normal<<>>Control0005	n = 6	0.0
116	Normal<<>>Control0005	n = 7	0.0
117	Normal<<>>Control0005	n = 8	0.0
118	Normal<<>>Control0005	n = 9	0.0
119	Normal<<>>Control0005	n = 10	0.0
120	Normal<<>>Control0005	n > 10	0.0
121	Normal<<>>Control0082	n = 1	0.891588785046729
122	Normal<<>>Control0082	n = 2	0.052336448598130844
123	Normal<<>>Control0082	n = 3	0.028037383177570093
124	Normal<<>>Control0082	n = 4	0.007476635514018692
125	Normal<<>>Control0082	n = 5	0.003738317757009346
126	Normal<<>>Control0082	n = 6	0.0
127	Normal<<>>Control0082	n = 7	0.003738317757009346
128	Normal<<>>Control0082	n = 8	0.001869158878504673
129	Normal<<>>Control0082	n = 9	0.001869158878504673
130	Normal<<>>Control0082	n = 10	0.0
