X	Y	composition	n_cells
2.6249741315841675	-0.6511712074279785	[0.7735849 0.2264151]	53.0
3.035530209541321	-0.6511712074279785	[0.8113208  0.18867925]	53.0
3.446086287498474	-0.6511712074279785	[0.7346939  0.26530612]	49.0
3.856642246246338	-0.6511712074279785	[0.61764705 0.38235295]	34.0
4.267198324203491	-0.6511712074279785	[0.5925926 0.4074074]	27.0
4.677754640579224	-0.6511712074279785	[0.10714286 0.89285713]	84.0
5.088310718536377	-0.6511712074279785	[0.08490566 0.9150943 ]	106.0
5.498866558074951	-0.6511712074279785	[0.2857143  0.71428573]	91.0
5.9094226360321045	-0.6511712074279785	[0.32098764 0.67901236]	81.0
6.319978952407837	-0.6511712074279785	[0.47619048 0.52380955]	84.0
6.73053503036499	-0.6511712074279785	[0.6363636  0.36363637]	44.0
7.1410908699035645	-0.6511712074279785	[0.84210527 0.15789473]	38.0
7.551646947860718	-0.6511712074279785	[0.875 0.125]	32.0
7.96220326423645	-0.6511712074279785	[1. 0.]	5.0
-7.638927936553955	-0.19030962884426117	[0.45833334 0.5416667 ]	24.0
-7.228371858596802	-0.19030962884426117	[0.6721311  0.32786885]	61.0
-6.817815542221069	-0.19030962884426117	[0.6849315  0.31506848]	73.0
-6.407259464263916	-0.19030962884426117	[0.7358491  0.26415095]	53.0
-5.996703624725342	-0.19030962884426117	[0.7 0.3]	60.0
-5.5861475467681885	-0.19030962884426117	[0.8082192  0.19178082]	73.0
-5.175591230392456	-0.19030962884426117	[0.74418604 0.25581396]	43.0
-4.765035152435303	-0.19030962884426117	[0.81395346 0.18604651]	43.0
-4.3544793128967285	-0.19030962884426117	[0.7368421 0.2631579]	38.0
-3.943923234939575	-0.19030962884426117	[0.7352941 0.2647059]	34.0
-3.5333670377731323	-0.19030962884426117	[0.5 0.5]	38.0
-3.122810959815979	-0.19030962884426117	[0.47619048 0.52380955]	21.0
-2.7122548818588257	-0.19030962884426117	[0.7407407  0.25925925]	27.0
-2.3016988039016724	-0.19030962884426117	[0.6 0.4]	5.0
-1.891142725944519	-0.19030962884426117	[0.23076923 0.7692308 ]	13.0
-1.4805866479873657	-0.19030962884426117	[0.2972973 0.7027027]	37.0
-1.0700305700302124	-0.19030962884426117	[0.66101694 0.33898306]	59.0
-0.6594744920730591	-0.19030962884426117	[0.71428573 0.2857143 ]	35.0
-0.24891841411590576	-0.19030962884426117	[0.7567568  0.24324325]	37.0
0.16163766384124756	-0.19030962884426117	[0.6666667  0.33333334]	39.0
0.5721937417984009	-0.19030962884426117	[0.5 0.5]	12.0
0.9827498197555542	-0.19030962884426117	[1. 0.]	2.0
1.3933058977127075	-0.19030962884426117	[0.8 0.2]	10.0
1.8038619756698608	-0.19030962884426117	[0.64102566 0.35897437]	39.0
2.214418053627014	-0.19030962884426117	[0.852459   0.14754099]	61.0
2.6249741315841675	-0.19030962884426117	[0.85365856 0.14634146]	82.0
3.035530209541321	-0.19030962884426117	[0.7590361  0.24096386]	83.0
3.446086287498474	-0.19030962884426117	[0.7108434  0.28915662]	83.0
3.856642246246338	-0.19030962884426117	[0.60465115 0.39534885]	43.0
4.267198324203491	-0.19030962884426117	[0.27586207 0.7241379 ]	29.0
4.677754640579224	-0.19030962884426117	[0.10416666 0.8958333 ]	96.0
5.088310718536377	-0.19030962884426117	[0.22619048 0.77380955]	84.0
5.498866558074951	-0.19030962884426117	[0.16393442 0.8360656 ]	61.0
5.9094226360321045	-0.19030962884426117	[0.36 0.64]	50.0
6.319978952407837	-0.19030962884426117	[0.46666667 0.53333336]	60.0
6.73053503036499	-0.19030962884426117	[0.95652175 0.04347826]	23.0
7.1410908699035645	-0.19030962884426117	[0.95238096 0.04761905]	21.0
7.551646947860718	-0.19030962884426117	[1. 0.]	5.0
-7.638927936553955	0.27055197209119797	[0.6415094  0.35849056]	53.0
-7.228371858596802	0.27055197209119797	[0.7012987 0.2987013]	77.0
-6.817815542221069	0.27055197209119797	[0.875 0.125]	72.0
-6.407259464263916	0.27055197209119797	[0.83076924 0.16923077]	65.0
-5.996703624725342	0.27055197209119797	[0.8360656  0.16393442]	61.0
-5.5861475467681885	0.27055197209119797	[0.8301887  0.16981132]	53.0
-5.175591230392456	0.27055197209119797	[0.76744187 0.23255815]	43.0
-4.765035152435303	0.27055197209119797	[0.70731705 0.29268292]	41.0
-4.3544793128967285	0.27055197209119797	[0.7647059  0.23529412]	34.0
-3.943923234939575	0.27055197209119797	[0.75 0.25]	36.0
-3.5333670377731323	0.27055197209119797	[0.9 0.1]	30.0
-3.122810959815979	0.27055197209119797	[0.86206895 0.13793103]	29.0
-2.7122548818588257	0.27055197209119797	[0.5714286  0.42857143]	21.0
-2.3016988039016724	0.27055197209119797	[0.7 0.3]	10.0
-1.891142725944519	0.27055197209119797	[0.75 0.25]	12.0
-1.4805866479873657	0.27055197209119797	[0.8 0.2]	5.0
-1.0700305700302124	0.27055197209119797	[0.627451   0.37254903]	51.0
-0.6594744920730591	0.27055197209119797	[0.6376812  0.36231884]	69.0
-0.24891841411590576	0.27055197209119797	[0.61702126 0.38297874]	47.0
0.16163766384124756	0.27055197209119797	[0.4642857  0.53571427]	28.0
0.5721937417984009	0.27055197209119797	[0.6086956  0.39130434]	23.0
0.9827498197555542	0.27055197209119797	[0.46666667 0.53333336]	15.0
1.3933058977127075	0.27055197209119797	[0.65217394 0.3478261 ]	46.0
1.8038619756698608	0.27055197209119797	[0.71875 0.28125]	64.0
2.214418053627014	0.27055197209119797	[0.661157 0.338843]	121.0
2.6249741315841675	0.27055197209119797	[0.73626375 0.26373628]	91.0
3.035530209541321	0.27055197209119797	[0.773913   0.22608696]	115.0
3.446086287498474	0.27055197209119797	[0.6769231  0.32307693]	65.0
3.856642246246338	0.27055197209119797	[0.45454547 0.54545456]	44.0
4.267198324203491	0.27055197209119797	[0.21621622 0.7837838 ]	37.0
4.677754640579224	0.27055197209119797	[0.16216215 0.8378378 ]	37.0
5.088310718536377	0.27055197209119797	[0.41025642 0.5897436 ]	39.0
5.498866558074951	0.27055197209119797	[0.6451613 0.3548387]	31.0
5.9094226360321045	0.27055197209119797	[0.48387095 0.516129  ]	62.0
6.319978952407837	0.27055197209119797	[0.5609756 0.4390244]	41.0
6.73053503036499	0.27055197209119797	[0.9166667  0.08333334]	12.0
7.1410908699035645	0.27055197209119797	[1. 0.]	7.0
-7.638927936553955	0.7314135432243347	[0.7058824  0.29411766]	34.0
-7.228371858596802	0.7314135432243347	[0.7765958  0.22340426]	94.0
-6.817815542221069	0.7314135432243347	[0.83168316 0.16831683]	101.0
-6.407259464263916	0.7314135432243347	[0.74603176 0.25396827]	63.0
-5.996703624725342	0.7314135432243347	[0.852459   0.14754099]	61.0
-5.5861475467681885	0.7314135432243347	[0.86440676 0.13559322]	59.0
-5.175591230392456	0.7314135432243347	[0.73913044 0.26086956]	46.0
-4.765035152435303	0.7314135432243347	[0.68292683 0.31707317]	41.0
-4.3544793128967285	0.7314135432243347	[0.6875 0.3125]	48.0
-3.943923234939575	0.7314135432243347	[0.74509805 0.25490198]	51.0
-3.5333670377731323	0.7314135432243347	[0.9117647 0.0882353]	34.0
-3.122810959815979	0.7314135432243347	[0.73170733 0.2682927 ]	41.0
-2.7122548818588257	0.7314135432243347	[0.8518519  0.14814815]	27.0
-2.3016988039016724	0.7314135432243347	[0.5714286  0.42857143]	7.0
-1.891142725944519	0.7314135432243347	[0.5 0.5]	4.0
-1.4805866479873657	0.7314135432243347	[0.6 0.4]	10.0
-1.0700305700302124	0.7314135432243347	[0.6052632  0.39473686]	38.0
-0.6594744920730591	0.7314135432243347	[0.6458333  0.35416666]	48.0
-0.24891841411590576	0.7314135432243347	[0.57894737 0.42105263]	57.0
0.16163766384124756	0.7314135432243347	[0.5319149 0.4680851]	47.0
0.5721937417984009	0.7314135432243347	[0.4814815 0.5185185]	27.0
0.9827498197555542	0.7314135432243347	[0.5151515 0.4848485]	33.0
1.3933058977127075	0.7314135432243347	[0.625 0.375]	48.0
1.8038619756698608	0.7314135432243347	[0.5492958  0.45070422]	71.0
2.214418053627014	0.7314135432243347	[0.60784316 0.39215687]	102.0
2.6249741315841675	0.7314135432243347	[0.6304348  0.36956522]	138.0
3.035530209541321	0.7314135432243347	[0.70542634 0.29457363]	129.0
3.446086287498474	0.7314135432243347	[0.68085104 0.31914893]	47.0
3.856642246246338	0.7314135432243347	[0.53571427 0.4642857 ]	28.0
4.267198324203491	0.7314135432243347	[0.26086956 0.73913044]	23.0
4.677754640579224	0.7314135432243347	[0.36 0.64]	25.0
5.088310718536377	0.7314135432243347	[0.5294118  0.47058824]	34.0
5.498866558074951	0.7314135432243347	[0.6557377 0.3442623]	61.0
5.9094226360321045	0.7314135432243347	[0.64285713 0.35714287]	70.0
6.319978952407837	0.7314135432243347	[0.6666667  0.33333334]	45.0
6.73053503036499	0.7314135432243347	[0.75 0.25]	4.0
-7.638927936553955	1.1922751069068909	[0.9444444  0.05555556]	18.0
-7.228371858596802	1.1922751069068909	[0.88 0.12]	75.0
-6.817815542221069	1.1922751069068909	[0.8367347 0.1632653]	98.0
-6.407259464263916	1.1922751069068909	[0.80246913 0.19753087]	81.0
-5.996703624725342	1.1922751069068909	[0.78571427 0.21428572]	56.0
-5.5861475467681885	1.1922751069068909	[0.88 0.12]	50.0
-5.175591230392456	1.1922751069068909	[0.81666666 0.18333334]	60.0
-4.765035152435303	1.1922751069068909	[0.8292683  0.17073171]	82.0
-4.3544793128967285	1.1922751069068909	[0.7195122 0.2804878]	82.0
-3.943923234939575	1.1922751069068909	[0.82191783 0.1780822 ]	73.0
-3.5333670377731323	1.1922751069068909	[0.8913044  0.10869565]	46.0
-3.122810959815979	1.1922751069068909	[0.95 0.05]	40.0
-2.7122548818588257	1.1922751069068909	[0.93333334 0.06666667]	30.0
-2.3016988039016724	1.1922751069068909	[0.5714286  0.42857143]	7.0
-1.891142725944519	1.1922751069068909	[0.5 0.5]	4.0
-1.4805866479873657	1.1922751069068909	[0.45454547 0.54545456]	11.0
-1.0700305700302124	1.1922751069068909	[0.6304348  0.36956522]	46.0
-0.6594744920730591	1.1922751069068909	[0.5319149 0.4680851]	47.0
-0.24891841411590576	1.1922751069068909	[0.6458333  0.35416666]	48.0
0.16163766384124756	1.1922751069068909	[0.5 0.5]	44.0
0.5721937417984009	1.1922751069068909	[0.3617021  0.63829786]	47.0
0.9827498197555542	1.1922751069068909	[0.5277778 0.4722222]	36.0
1.3933058977127075	1.1922751069068909	[0.5660377  0.43396226]	53.0
1.8038619756698608	1.1922751069068909	[0.4556962 0.5443038]	79.0
2.214418053627014	1.1922751069068909	[0.5 0.5]	124.0
2.6249741315841675	1.1922751069068909	[0.649635   0.35036495]	137.0
3.035530209541321	1.1922751069068909	[0.622807   0.37719297]	114.0
3.446086287498474	1.1922751069068909	[0.6851852 0.3148148]	54.0
3.856642246246338	1.1922751069068909	[0.6052632  0.39473686]	38.0
4.267198324203491	1.1922751069068909	[0.45454547 0.54545456]	22.0
4.677754640579224	1.1922751069068909	[0.6451613 0.3548387]	31.0
5.088310718536377	1.1922751069068909	[0.65909094 0.3409091 ]	44.0
5.498866558074951	1.1922751069068909	[0.8064516  0.19354838]	31.0
5.9094226360321045	1.1922751069068909	[0.8 0.2]	30.0
6.319978952407837	1.1922751069068909	[0.8 0.2]	10.0
-7.638927936553955	1.6531367301940918	[1. 0.]	2.0
-7.228371858596802	1.6531367301940918	[0.9848485  0.01515152]	66.0
-6.817815542221069	1.6531367301940918	[0.92727274 0.07272727]	55.0
-6.407259464263916	1.6531367301940918	[0.82857144 0.17142858]	70.0
-5.996703624725342	1.6531367301940918	[0.64705884 0.3529412 ]	68.0
-5.5861475467681885	1.6531367301940918	[0.78 0.22]	50.0
-5.175591230392456	1.6531367301940918	[0.7619048  0.23809524]	63.0
-4.765035152435303	1.6531367301940918	[0.7619048  0.23809524]	105.0
-4.3544793128967285	1.6531367301940918	[0.88 0.12]	75.0
-3.943923234939575	1.6531367301940918	[0.92424244 0.07575758]	66.0
-3.5333670377731323	1.6531367301940918	[0.8979592  0.10204082]	49.0
-3.122810959815979	1.6531367301940918	[0.6216216 0.3783784]	37.0
-2.7122548818588257	1.6531367301940918	[0.5 0.5]	14.0
-2.3016988039016724	1.6531367301940918	[0.15384616 0.84615386]	13.0
-1.891142725944519	1.6531367301940918	[0.5 0.5]	6.0
-1.4805866479873657	1.6531367301940918	[0.5833333  0.41666666]	12.0
-1.0700305700302124	1.6531367301940918	[0.6 0.4]	20.0
-0.6594744920730591	1.6531367301940918	[0.6666667  0.33333334]	24.0
-0.24891841411590576	1.6531367301940918	[0.54285717 0.45714286]	35.0
0.16163766384124756	1.6531367301940918	[0.5522388 0.4477612]	67.0
0.5721937417984009	1.6531367301940918	[0.49333334 0.50666666]	75.0
0.9827498197555542	1.6531367301940918	[0.44444445 0.5555556 ]	81.0
1.3933058977127075	1.6531367301940918	[0.43010753 0.56989247]	93.0
1.8038619756698608	1.6531367301940918	[0.4375 0.5625]	80.0
2.214418053627014	1.6531367301940918	[0.43269232 0.5673077 ]	104.0
2.6249741315841675	1.6531367301940918	[0.5037594  0.49624062]	133.0
3.035530209541321	1.6531367301940918	[0.5833333  0.41666666]	72.0
3.446086287498474	1.6531367301940918	[0.71153843 0.28846154]	52.0
3.856642246246338	1.6531367301940918	[0.41935483 0.58064514]	31.0
4.267198324203491	1.6531367301940918	[0.67346936 0.3265306 ]	49.0
